"","SID","topic","article_number","scale_name","value","text","tone_pos","tone_neg"
"1","s001","health",8,"msg_share_broad",80,"It means you don't have to try very hard to count calories as long as you cut out universally unhealthy things like sugar.",0,4.35
"2","s003","health",72,"msg_share_broad",11,"Maybe it could do more than just make people run faster. Maybe do other things faster.",0,0
"3","s005","health",88,"msg_share_broad",94,"CBD is it a waste of money? Or can it help us? Many unknowns. Might be fake and a waste.",5,5
"4","s009","health",68,"msg_share_broad",78,"Healthy and nutritional value of banana over carbonated drinks",0,0
"5","s012","climate",109,"msg_share_broad",9,"Kids skipped school to protest demand on climate issues.",0,0
"6","s015","climate",47,"msg_share_broad",88,"This is a good way to be more environmentally friendly at the same time save some money.",11.76,0
"7","s018","climate",99,"msg_share_broad",81,"Climate change may be disastrous in the future. Some regions may face several crises at one time.",0,5.88
"8","s020","health",82,"msg_share_broad",23,"It matters to me personally because I now have abdominal obesity, which may develop into something else in the future.",0,0
"9","s024","climate",27,"msg_share_broad",11,"A lot of people I know care about the environment and sustainability.",8.33,0
"10","s028","climate",109,"msg_share_broad",85,"This is about climate",0,0
"11","s031","climate",49,"msg_share_broad",84,"Recycle is important.",33.33,0
"12","s036","climate",93,"msg_share_broad",8,"Both solar power and fossil fuels are big right now.",0,0
"13","s038","climate",65,"msg_share_broad",0,"It is about a teenage girl who became popular for being outspoken over climate change.",0,0
"14","s041","climate",51,"msg_share_broad",96,"Because it contains a guide to help individuals reduce their carbon footprint. I believe some people that I know want to take part to promote a healthier environment to save our earth from global warming, however, they don't know what to do or where to start.",2.17,0
"15","s043","climate",17,"msg_share_broad",5,"The California wild fires.  If only the democrats would stop hugging trees and actually do proper forest management, this would not happen.",4.55,0
"16","s046","climate",51,"msg_share_broad",93,"it describes that nuclear power which affect you personal and cause environment more bad",0,7.14
"17","s049","health",94,"msg_share_broad",71,"Drinking less sugar drinks improves health.",16.67,0
"18","s052","health",8,"msg_share_broad",51,"Since I am overweight this means a lot to me.",0,10
"19","s054","climate",89,"msg_share_broad",20,"I am belief that the highest calling of leadership is to respect the potential in others.",6.25,0
"20","s056","climate",105,"msg_share_broad",59,"Lawsuits about climate change has moved inland.",0,0
"21","s058","health",24,"msg_share_broad",31,"A Dr. with cancer started a company to research the cancer he has.",0,0
"22","s063","climate",23,"msg_share_broad",0,"It doesn't, except that it pisses me off to see people act so stupidly.",0,21.43
"23","s065","climate",73,"msg_share_broad",81,"This matters to people I know because a lot of them are eco-friendly, and this would help so much with buying a hybrid or electric car.",3.85,0
"24","s067","health",82,"msg_share_broad",4,"I have family members with some heart issues, so it is scary to read about all the different outcomes that are associated with heart disease.",0,4
"25","s069","health",100,"msg_share_broad",0,"With the pandemic raging it is so important to me to stay healthy for myself and my kids.",5.56,11.11
"26","s072","climate",25,"msg_share_broad",64,"Is climate change causing more floods and what makes a flood ""catastrophic""?",0,0
"27","s074","climate",107,"msg_share_broad",67,"We can all make a difference in reducing our city's air pollution",0,0
"28","s076","climate",19,"msg_share_broad",65,"This article matters to me because it shows that as a nation we are showing compassion for our environment and the creatures that live in it",3.85,0
"29","s079","climate",107,"msg_share_broad",83,"no one likes air pollution",20,0
"30","s081","climate",73,"msg_share_broad",1,"It would help the environment",20,0
"31","s083","health",88,"msg_share_broad",59,"Scientists don't know much about CBD and its effects.",0,0
"32","s085","health",28,"msg_share_broad",3,"This article is about the affects of eating deli meat on peoples' health.",0,0
"33","s089","health",10,"msg_share_broad",7,"Diet supplements can be very dangerous for your health.",0,11.11
"34","s092","climate",85,"msg_share_broad",51,"Global warming is really coming.",0,0
"35","s095","health",48,"msg_share_broad",0,"Overview of a study where simple and short weight training can help you build strength",13.33,0
"36","s099","health",50,"msg_share_broad",0,"so now neither red nor white meat is good for you.",9.09,0
