"","SID","value","arousal","tone"
"2609","s348","It's always goof to have moral support to treat eating disorders",NA,NA
"2369","s623","we should have responsible for keep our wilds from fire free.",NA,NA
"1177","s622","A proposal to reduce the 28 country bloc's net carbon emission failed",NA,NA
"1098","s496","to prevent the plants , its god's gift",NA,NA
"1252","s083","As the climate changes, more heritage sites are being affected.",NA,NA
"3218","s062","With climate change currently happening and our country doing nothing to curb it and living in an earthquake state, people I know should read this article to keep themselves and their assets safe. Knowing the risk of not being insured and what the costs can be may help people make decisions that may better keep them safe and secure.",NA,NA
"634","s371","My sexual function may be getting worse, but not bad enough to take these dangerous supplements.",NA,NA
"2097","s153","Bananas may be healthier than the sports drinks they are drinking",NA,NA
"1152","s581","These vegan foods are good for health",NA,NA
"1327","s195","Climate change is a scam and so are the people who sell it.",NA,NA
"2072","s119","This article does not surprise anyone.",NA,NA
"3911","s548","Peoples are must knows the technology and business leaders.",NA,NA
"356","s577","Being healthy as I get older gets more and more important.",NA,NA
"1625","s054","This is not proofed yet. Paints a picture of snake-oil sales, hyped-up claims and minuscule science",NA,NA
"165","s237","VITAMIN D WAS IMPORTANT DURING PREGNANCY",NA,NA
"2670","s471","This is an article about the ineffectiveness of supplements to ease muscle soreness after working out.",NA,NA
"3604","s046","due to cause of the disaster like floods and climate change the people get the flood insurance in the change of climate increases",NA,NA
"2458","s106","This article is about the similarities of ""bad"" cholesterol levels in red and white meats.",NA,NA
"1903","s514","Kidney stones are so painful good to know how to prevent them.",NA,NA
"899","s143","eat calcium rich foods to avoid kidney stone.",NA,NA
"3369","s287","The article is about having a better nights sleep when sleeping with their dog in the bedroom.",NA,NA
"601","s307","we all need to protect the environment",NA,NA
"1307","s159","IMPACTS IN CITY DUE TO HEAT",NA,NA
"932","s197","If this diet unlikely to provide benefits, i make sure all people in my community should know about it",NA,NA
"997","s305","Low impact sports for exercise might make bones weaker in old age",NA,NA
"2015","s045","because most people i know care about the climate and how to try to fix the issues that earth is having",NA,NA
"621","s338","My dad owns an S.U.V. so he may be a bit environmentally conscious to this fact.",NA,NA
"1541","s570","This article matters to people I know because many of them want to eat healthy",NA,NA
"3284","s147","It matters to me because it is important for myself and the rest of us to maintain a healthy body, in order to live a fit and fulfilling life.",NA,NA
"860","s090","I know a lot of people who eat deli meat daily that should be aware of this.",NA,NA
"259","s419","poor hearing being associated with more injuries",NA,NA
"1338","s208","its about silicon valley start up",NA,NA
"481","s116","Stop eatting so much. Be a good human. It will save the planet. People should care to sve eachother in the long run.",NA,NA
"1322","s189","Cancer can strike anyone at any time.",NA,NA
"3960","s627","Exercise is important and will help keep our bodies 'young'",NA,NA
"3230","s075","four continents affected by havoc.",NA,NA
"299","s490","The effect of antioxidants on after exercise soreness.",NA,NA
"2454","s100","This article is about certain foods that vegans eat that cause Gout.",NA,NA
"2362","s615","disadvantages of soft drinks",NA,NA
"3720","s208","handy guide helps you reduce your own carbon foot print",NA,NA
"1316","s177","In Australia a permit was granted for a coal mine",NA,NA
"836","s062","The article is about how to reduce your carbon footprint and make better green choices.",NA,NA
"982","s278","This is good to know! I will pass this information along to my female family and friends and hopefully they will be able to reduce their risk for breast cancer.",NA,NA
"2194","s316","The article is about the floating garbage field in the pacific ocean and how it is much larger and faster growing than thought.",NA,NA
"3693","s166","The article is about the Senator's proposal about giving Americans vouchers in order for them to be encouraged to purchase American-made cars that are electric and hybrid vehicles. This would help with Climate Change and lessen the carbon footprint of Americans.",NA,NA
"1372","s268","That climate change happening faster with the collapse in the Tibet area makes scientist more worried.",NA,NA
"2245","s420","Based on this study hard work exercise will build a strength with in 13 minutes and it's really useful to work on.",NA,NA
"1540","s568","Its about the conference regarding climate and technological range.",NA,NA
"2274","s473","eating bananas helps a lot in carbohydrates",NA,NA
