"","cond","SID","value","article_number"
"1","self","s001","Getting my own wind turbine could save me money on energy in the future, I would like to learn about wind turbines more.",1
"2","self","s002","i don't think so good about this one",65
"3","social","s003","Because I know a lot of people higher in age.",76
"4","social","s004","Good for you on quitting smoking, but now you need to hit the gym if you want to live past 100.",16
"5","social","s005","Climate change costs might effect our job market and bills or taxes going higher in the next 5 years.",87
"6","social","s008","These risks can also mean companies will raise their prices.",87
"7","self","s009","Running race designed to challenge runners",62
"8","social","s010","Taking statins to lower cholesterol can increase your risk for staph skin infections",80
"9","social","s012","There is no such thing as strong immune system.",100
"10","self","s014","To lose weight, more than just exercise is involved.",6
"11","social","s015","If you think certain supplements can help you, you might be wrong about that.  Being deceived by some articles about supplements can just make your exercising worse.",40
"12","social","s017","Positives to learn from the Climate TECH conference.",81
"13","social","s018","The ban on sugary drink may be linked to health benefits such as losing belling fat.",94
"14","self","s019","I don't have any hearing loss at the moment but maybe in the future in old age, I could have it so this article is relevant to me.",90
"15","self","s020","The government to re-evaluate Endangered Species Act which may weaken the law in the future.",89
"16","self","s021","This article is about a fast way to weight train in order to build strength.",48
"17","social","s024","I have two friends who work in a deli and eat the meat quite often.",28
"18","social","s025","This article matters to people I know as I may have sleep apnea and my wife wants me to get tested so that I don't impact my own health.",106
"19","social","s028","It is about the organisms",102
"20","self","s030","This article is about a kind of snake oil where it is a lot of claims and there is not a lot of evidence for it .",88
"21","social","s031","Climate change in Tibet",45
"22","self","s032","This article is important to me because it highlights the incorrect way many Americans plan to build their homes.",23
"23","self","s036","Dangers of Climate change",99
"24","social","s037","global warming impact the environment around us",85
"25","social","s038","Instead of competing to win, professional racers are looking to find other ways to enjoy their sport.",62
"26","self","s040","It is about degradation plastics.",67
"27","social","s041","This article is promoting reusable products to replace the disposable products that people might be using.",55
"28","social","s042","there was important of brain chain amino acids, are best taken during your workouts because they block the fatigue inducing amino acid, tryptophan, allowing you to workout with less fatigue.",10
"29","self","s043","Riding a bike will help you stay healthier even in your older years.",18
"30","social","s045","climate change and renewable enegery",75
"31","self","s046","the eating of processed meat may cause breast cancer it will increase 9 percent risk of breast cancer",52
"32","self","s048","A list of 5 alterantive disposable cleaning products.",47
"33","social","s049","Europeans found the world to be hotter this year.",91
"34","self","s051","The article will discuss a voucher program proposed by the government to allow us to buy electric cars.",73
"35","self","s052","This matters to me personally because I am trying to lose weight.",0
